match_id,date,competition,confederation,match_type,season,home_away,team,opponent,gols_marcados,gols_sofridos,shots,shots_on_goal,blocked_shots,ball_possession,fouls,yellow_cards,red_cards,corners,offsides,passes_accurate,saves,ast,has_shot_data,weight,home_advantage,ko_round,went_et,went_penalties
1125858,2023-11-17 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,DR Congo,Zambia,2.0,4.0,,,,,,,,,,,,,False,1.0,0,,,
1125869,2023-11-17 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Liberia,Malawi,0.0,1.0,,,,,,,,,,,,,False,1.0,0,,,
1125869,2023-11-17 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Malawi,Liberia,1.0,0.0,,,,,,,,,,,,,False,1.0,0,,,
1125868,2023-11-17 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Tunisia,Sao Tome and Principe,4.0,0.0,,,,,,,,,,,,,False,1.0,0,,,
1125868,2023-11-17 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Sao Tome and Principe,Tunisia,0.0,4.0,,,,,,,,,,,,,False,1.0,0,,,
1125871,2023-11-17 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Mali,Chad,3.0,1.0,,,,,,,,,,,,,False,1.0,0,,,
1125871,2023-11-17 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Chad,Mali,1.0,3.0,,,,,,,,,,,,,False,1.0,0,,,
1125862,2023-11-17 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Ivory Coast,Seychelles,9.0,0.0,,,,,,,,,,,,,False,1.0,0,,,
1125862,2023-11-17 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Seychelles,Ivory Coast,0.0,9.0,,,,,,,,,,,,,False,1.0,0,,,
1125846,2023-11-17 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Burkina Faso,Guinea-Bissau,1.0,1.0,,,,,,,,,,,,,False,1.0,0,,,
1125846,2023-11-17 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Guinea-Bissau,Burkina Faso,1.0,1.0,,,,,,,,,,,,,False,1.0,0,,,
1125856,2023-11-17 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Cameroon,Mauritius,3.0,0.0,,,,,,,,,,,,,False,1.0,0,,,
1125856,2023-11-17 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Mauritius,Cameroon,0.0,3.0,,,,,,,,,,,,,False,1.0,0,,,
1125852,2023-11-18 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,South Africa,Benin,2.0,1.0,7.0,3.0,2.0,68.0,7.0,1.0,0.0,5.0,4.0,508.0,0.0,,True,1.0,0,,,
1125852,2023-11-18 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Benin,South Africa,1.0,2.0,5.0,1.0,0.0,32.0,19.0,1.0,0.0,2.0,1.0,204.0,1.0,,True,1.0,0,,,
1125860,2023-11-18 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Niger,Tanzania,0.0,1.0,,,,,,,,,,,,,False,1.0,0,,,
1125860,2023-11-18 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Tanzania,Niger,1.0,0.0,,,,,,,,,,,,,False,1.0,0,,,
1125850,2023-11-18 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Senegal,South Sudan,4.0,0.0,,,,,,,,,,,,,False,1.0,0,,,
1125850,2023-11-18 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,South Sudan,Senegal,0.0,4.0,,,,,,,,,,,,,False,1.0,0,,,
1125892,2023-11-19 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Mozambique,Algeria,0.0,2.0,,,,,,,0.0,8.0,,,,,True,1.0,0,,,
1125892,2023-11-19 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Algeria,Mozambique,2.0,0.0,,,,,,,0.0,2.0,,,,,True,1.0,0,,,
1125880,2023-11-19 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Zimbabwe,Nigeria,1.0,1.0,,,,,,,,,,,,,False,1.0,0,,,
1125880,2023-11-19 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,away,Nigeria,Zimbabwe,1.0,1.0,,,,,,,,,,,,,False,1.0,0,,,
1125890,2023-11-19 00:00:00,CAF WCQ 2026,CAF,WCQ,2023,home,Burundi,Gabon,1.0,2.0,,,,,,,,,,,,,False,1.0,0,,,
